date,label,x_mean,x_max,x_min,x_std,x_var,x_skew,x_kurtosis,y_mean,y_max,y_min,y_std,y_var,y_skew,y_kurtosis,z_mean,z_max,z_min,z_std,z_var,z_skew,z_kurtosis,n,x_range,y_range,z_range,svm,vmm,sma,ai
2022-11-23 09:14:41,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,-14.0,-14.0,-14.0,0.0,0.0,0.0,0.0,-63.0,-63.0,-63.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,65.03076195155643,8.0,85.0,13.006152390311286
2022-11-23 09:14:42,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,-14.0,-14.0,-14.0,0.0,0.0,0.0,0.0,-63.0,-63.0,-63.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,65.03076195155643,8.0,85.0,7.2256402168396034
2022-11-23 09:14:43,1.0,8.0,8.0,8.0,,,,,-14.0,-14.0,-14.0,,,,,-63.0,-63.0,-63.0,,,,,1,0.0,0.0,0.0,65.03076195155643,8.0,85.0,65.03076195155643
2022-11-23 09:14:48,1.0,-12.0,-12.0,-12.0,0.0,0.0,0.0,0.0,-8.0,-8.0,-8.0,0.0,0.0,0.0,0.0,-62.0,-62.0,-62.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,63.655321851358195,-8.0,82.0,9.093617407336884
2022-11-23 09:14:55,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,-13.0,-13.0,-13.0,0.0,0.0,0.0,0.0,-64.0,-64.0,-64.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,65.49809157525127,5.0,82.0,13.099618315050254
2022-11-23 09:14:56,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,-13.0,-13.0,-13.0,0.0,0.0,0.0,0.0,-64.0,-64.0,-64.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,65.49809157525127,5.0,82.0,7.277565730583474
2022-11-23 09:15:02,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,-59.0,-59.0,-59.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,61.00819617067857,15.0,78.0,5.546199651879871
2022-11-23 09:15:03,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,-59.0,-59.0,-59.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,61.00819617067857,15.0,78.0,4.357728297905612
2022-11-23 09:15:04,1.0,-5.230769230769231,4.0,-8.0,5.262348115842175,27.69230769230769,1.4511323592170853,0.09454545454545427,-1.1538461538461537,15.0,-6.0,9.209109202723807,84.80769230769232,1.4511323592170842,0.09454545454545249,-62.84615384615385,-59.0,-64.0,2.1926450482675732,4.807692307692308,1.451132359217085,0.09454545454545782,13,12.0,21.0,5.0,63.07401494234171,-1.1538461538461537,69.23076923076923,4.851847303257054
2022-11-23 09:15:05,1.0,-8.0,-8.0,-8.0,,,,,-6.0,-6.0,-6.0,,,,,-64.0,-64.0,-64.0,,,,,1,0.0,0.0,0.0,64.77653896280658,-6.0,78.0,64.77653896280658
2022-11-23 09:15:09,1.0,-8.0,-8.0,-8.0,,,,,-6.0,-6.0,-6.0,,,,,-64.0,-64.0,-64.0,,,,,1,0.0,0.0,0.0,64.77653896280658,-6.0,78.0,64.77653896280658
2022-11-23 09:15:10,2.0,-8.0,-8.0,-8.0,0.0,0.0,,,-6.0,-6.0,-6.0,0.0,0.0,,,-64.0,-64.0,-64.0,0.0,0.0,,,2,0.0,0.0,0.0,64.77653896280658,-6.0,78.0,32.38826948140329
2022-11-23 09:15:31,2.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,-21.0,-21.0,-21.0,0.0,0.0,0.0,0.0,-62.0,-62.0,-62.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,66.07571414672717,-9.0,92.0,6.006883104247924
2022-11-23 09:15:32,2.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,0.0,-21.0,-21.0,-21.0,0.0,0.0,0.0,0.0,-62.0,-62.0,-62.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,66.07571414672717,-9.0,92.0,13.215142829345433
2022-11-23 09:15:37,2.0,4.0,4.0,4.0,,,,,2.0,2.0,2.0,,,,,-66.0,-66.0,-66.0,,,,,1,0.0,0.0,0.0,66.15134163416491,4.0,72.0,66.15134163416491
2022-11-23 09:15:38,2.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,-66.0,-66.0,-66.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,66.15134163416491,4.0,72.0,7.350149070462767
2022-11-23 09:15:39,2.0,4.0,4.0,4.0,,,,,2.0,2.0,2.0,,,,,-66.0,-66.0,-66.0,,,,,1,0.0,0.0,0.0,66.15134163416491,4.0,72.0,66.15134163416491
2022-11-23 09:15:40,2.0,-12.0,-12.0,-12.0,,,,,0.0,0.0,0.0,,,,,-73.0,-73.0,-73.0,,,,,1,0.0,0.0,0.0,73.97972695272672,0.0,85.0,73.97972695272672
2022-11-23 09:15:41,2.0,-12.0,-12.0,-12.0,,,,,0.0,0.0,0.0,,,,,-73.0,-73.0,-73.0,,,,,1,0.0,0.0,0.0,73.97972695272672,0.0,85.0,73.97972695272672
2022-11-23 09:15:43,2.0,-12.0,-12.0,-12.0,,,,,0.0,0.0,0.0,,,,,-73.0,-73.0,-73.0,,,,,1,0.0,0.0,0.0,73.97972695272672,0.0,85.0,73.97972695272672
2022-11-23 09:15:44,2.0,-15.25,-12.0,-19.0,3.2403703492039297,10.499999999999998,-0.3736870243979913,-2.2017492711370266,16.125,36.0,0.0,13.943124265591061,194.41071428571428,0.48869294744787256,-0.819080793470377,-65.125,-56.0,-73.0,7.79079126735074,60.69642857142855,0.4287241070644444,-2.1421699492634123,8,7.0,36.0,17.0,68.80293416708331,16.125,96.5,8.600366770885413
2022-11-23 09:15:45,2.0,-14.142857142857142,-13.0,-15.0,1.0690449676496976,1.142857142857143,0.3741657386773922,-2.800000000000001,20.571428571428573,36.0,9.0,14.432107063270918,208.2857142857143,0.37416573867739356,-2.8000000000000007,-68.28571428571429,-67.0,-70.0,1.6035674514745468,2.571428571428573,-0.37416573867737823,-2.8000000000000114,7,2.0,27.0,3.0,72.7058653558491,20.571428571428573,103.0,10.386552193692728
2022-11-23 09:15:47,2.0,-35.0,-15.0,-55.0,14.142135623730951,200.0,0.0,2.0,-2.6,1.0,-16.0,7.503332592921628,56.3,-2.2178422199988876,4.9316179184715185,-61.6,-51.0,-91.0,17.372391890583174,301.80000000000007,-1.7366814917927385,2.7734652390494645,5,40.0,17.0,40.0,70.89654434455886,-2.6,99.2,14.179308868911772
2022-11-23 09:15:48,2.0,-35.0,-15.0,-55.0,11.547005383792516,133.33333333333334,0.0,3.0,-1.5714285714285714,1.0,-16.0,6.373307431706682,40.61904761904762,-2.6272750213210614,6.922150495664569,-58.57142857142857,-51.0,-91.0,15.09809196396621,227.95238095238105,-2.1757446388028345,4.687211582759158,7,40.0,17.0,40.0,68.25014016581257,-1.5714285714285714,95.14285714285714,9.75002002368751
2022-11-23 09:15:50,2.0,-35.0,-15.0,-55.0,28.284271247461902,800.0,,,-8.0,0.0,-16.0,11.313708498984761,128.0,,,-77.5,-64.0,-91.0,19.091883092036785,364.5,,,2,40.0,16.0,27.0,85.41223565742791,-8.0,120.5,42.70611782871396
2022-11-23 09:15:51,2.0,-10.571428571428571,1.0,-55.0,19.7511997131792,390.1098901098901,-1.9001249050117766,2.5413627159113474,-0.42857142857142855,6.0,-16.0,8.94181435481882,79.95604395604393,-0.9776417628567599,-0.8503794684640407,-67.85714285714286,-60.0,-91.0,9.960360997915247,99.2087912087912,-2.1359589745692955,3.399447377000815,14,56.0,22.0,31.0,68.6770020621525,-0.42857142857142855,78.85714285714286,4.905500147296607
2022-11-23 09:15:53,2.0,-3.5,2.0,-9.0,6.3508529610858835,40.333333333333336,0.0,-6.0,-13.0,5.0,-31.0,20.784609690826528,432.0,0.0,-6.0,-63.5,-54.0,-73.0,10.969655114602888,120.33333333333331,0.0,-6.0,4,11.0,36.0,19.0,64.91147818375421,-3.5,80.0,16.227869545938553
2022-11-23 09:15:54,2.0,-9.0,-9.0,-9.0,0.0,0.0,,,5.0,5.0,5.0,0.0,0.0,,,-73.0,-73.0,-73.0,0.0,0.0,,,2,0.0,0.0,0.0,73.72245248226622,5.0,87.0,36.86122624113311
2022-11-23 09:15:57,2.0,1.0,16.0,-9.0,13.693063937629153,187.5,0.6085806194501846,-3.333333333333333,-0.6,5.0,-9.0,7.6681158050723255,58.8,-0.6085806194501849,-3.333333333333334,-75.0,-73.0,-78.0,2.7386127875258306,7.5,-0.6085806194501846,-3.333333333333333,5,25.0,14.0,5.0,75.00906611870327,1.0,76.6,15.001813223740655
2022-11-23 09:15:58,2.0,1.5555555555555556,16.0,-13.0,13.65207255208235,186.3790849673203,-0.12842326952700794,-2.0860687010293306,-5.888888888888889,-1.0,-11.0,4.561848037401057,20.81045751633987,0.15339150668360496,-2.0907781684805933,-70.88888888888889,-56.0,-78.0,8.491441288933151,72.10457516339869,1.1856091889318388,-0.19337270251062444,18,29.0,10.0,22.0,71.15007613020055,1.5555555555555556,78.33333333333333,3.9527820072333637
2022-11-23 09:15:59,2.0,1.3,9.0,-13.0,10.765930668451043,115.90526315789472,-0.6811611145540123,-1.7194570135746607,-7.5,-1.0,-11.0,4.8936048492959285,23.94736842105263,0.6811611145540122,-1.7194570135746605,-61.95,-56.0,-73.0,8.31912824380308,69.2078947368421,-0.6811611145540108,-1.7194570135746625,20,22.0,10.0,17.0,62.41588339517434,1.3,70.75,3.120794169758717
2022-11-23 09:16:00,2.0,9.0,9.0,9.0,0.0,0.0,,,-11.0,-11.0,-11.0,0.0,0.0,,,-56.0,-56.0,-56.0,0.0,0.0,,,2,0.0,0.0,0.0,57.77542730261716,9.0,76.0,28.88771365130858
