date,label,n,x_mean,y_mean,z_mean,x_max,x_min,x_range,x_std,x_var,x_skew,x_kurtosis,y_max,y_min,y_range,y_std,y_var,y_skew,y_kurtosis,z_max,z_min,z_range,z_std,z_var,z_skew,z_kurtosis,svm,vmm,sma,ai
2022-11-23 09:14:40,1.0,15,8.0,-14.0,-63.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,-63.0,-63.0,0.0,0.0,0.0,0.0,0.0,65.03076195155643,8.0,85.0,4.335384130103762
2022-11-23 09:14:45,1.0,7,-12.0,-8.0,-62.0,-12.0,-12.0,0.0,0.0,0.0,0.0,0.0,-8.0,-8.0,0.0,0.0,0.0,0.0,0.0,-62.0,-62.0,0.0,0.0,0.0,0.0,0.0,63.6553218513582,-8.0,82.0,9.093617407336884
2022-11-23 09:14:55,1.0,14,5.0,-13.0,-64.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,-13.0,-13.0,0.0,0.0,0.0,0.0,0.0,-64.0,-64.0,0.0,0.0,0.0,0.0,0.0,65.49809157525127,5.0,82.0,4.678435112517947
2022-11-23 09:15:00,1.0,38,0.8421052631578947,9.473684210526317,-60.31578947368421,4.0,-8.0,12.0,5.355100199882572,28.67709815078236,-1.0757057484009542,-0.842857142857143,15.0,-6.0,21.0,9.3714253497945,87.82361308677098,-1.0757057484009542,-0.8428571428571425,-59.0,-64.0,5.0,2.2312917499510743,4.978662873399728,-1.0757057484009511,-0.8428571428571479,61.06107019721165,9.473684210526317,70.63157894736842,1.606870268347675
2022-11-23 09:15:05,1.0,2,-8.0,-6.0,-64.0,-8.0,-8.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,-64.0,-64.0,0.0,0.0,0.0,0.0,0.0,64.77653896280658,-6.0,78.0,32.38826948140329
2023-03-29 14:02:00,3.0,1,-18.0,1.0,-59.0,-18.0,-18.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-59.0,-59.0,0.0,0.0,0.0,0.0,0.0,61.69278726074872,1.0,78.0,61.69278726074872
2023-03-29 14:02:05,3.0,3,-36.333333333333336,4.333333333333333,-58.66666666666666,-26.0,-42.0,16.0,8.962886439832502,80.33333333333333,0.6972172018213317,-1.4999999999999998,8.0,2.0,6.0,3.2145502536643185,10.333333333333334,0.6309038567106241,-1.4999999999999991,-53.0,-63.0,10.0,5.131601439446885,26.333333333333343,0.4451092653236345,-1.500000000000001,69.14236520879703,4.333333333333333,99.33333333333334,23.04745506959901
2023-03-29 14:02:10,3.0,8,-19.125,0.875,-70.25,1.0,-33.0,34.0,12.34547343303262,152.41071428571428,0.3596546042376617,-1.1826640845150178,22.0,-11.0,33.0,10.789379698838776,116.41071428571432,0.8008835623799179,-0.1439480912708908,-53.0,-115.0,62.0,19.6159556047039,384.78571428571433,-1.6548872287428569,1.5576017162645233,72.81204398998835,0.875,90.25,9.101505498748544
2023-03-29 14:02:15,3.0,8,-15.625,-0.375,-68.375,20.0,-35.0,55.0,18.784016761978407,352.8392857142858,0.7529871853522029,-0.4073568867318928,7.0,-3.0,10.0,3.461523198989551,11.982142857142856,1.3100239946869825,0.5704189534049542,-43.0,-85.0,42.0,12.304906106334752,151.41071428571428,0.9198665356248908,0.5281744964745809,70.13859048341362,-0.375,84.375,8.767323810426703
2023-03-29 14:02:20,3.0,3,-16.666666666666668,-0.3333333333333333,-67.33333333333333,-10.0,-28.0,18.0,9.865765724632496,97.33333333333334,-0.6745554845457651,-1.5000000000000009,2.0,-2.0,4.0,2.0816659994661326,4.333333333333333,0.5280049792181879,-1.4999999999999996,-62.0,-72.0,10.0,5.0332229568471645,25.333333333333314,0.2390631469295413,-1.500000000000001,69.3661781177734,-0.3333333333333333,84.33333333333333,23.12205937259113
2023-03-29 14:02:25,3.0,1,-2.0,13.0,-49.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,-49.0,-49.0,0.0,0.0,0.0,0.0,0.0,50.73460357586329,13.0,64.0,50.73460357586329
2023-03-29 14:02:40,3.0,1,-23.0,19.0,-53.0,-23.0,-23.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,-53.0,-53.0,0.0,0.0,0.0,0.0,0.0,60.81940479813988,19.0,95.0,60.81940479813988
2023-03-29 14:02:45,3.0,3,-7.666666666666667,13.333333333333334,-62.333333333333336,15.0,-24.0,39.0,20.256686138984666,410.3333333333333,0.5182347377637011,-1.5,26.0,5.0,21.0,11.150485789118488,124.33333333333334,0.6061201421137347,-1.5,-54.0,-71.0,17.0,8.504900548115383,72.33333333333334,-0.0718917014929154,-1.5000000000000002,64.20280367709809,13.333333333333334,83.33333333333334,21.40093455903269
2023-03-29 14:02:50,3.0,1,-12.0,1.0,-66.0,-12.0,-12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-66.0,-66.0,0.0,0.0,0.0,0.0,0.0,67.08949247087803,1.0,79.0,67.08949247087803
