date,x_mean,x_max,x_min,x_std,x_var,x_skew,x_kurtosis,y_mean,y_max,y_min,y_std,y_var,y_skew,y_kurtosis,z_mean,z_max,z_min,z_std,z_var,z_skew,z_kurtosis,n,x_range,y_range,z_range,svm,vmm,sma,ai,label
2022-11-23 09:08:51,-0.5857142857142857,0.0,-1.0,0.4961549881405293,0.24616977225672876,0.35567633593015757,-1.9294734953343902,-1.2857142857142858,3.0,-4.0,2.3414528943189734,5.482401656314698,0.4321989662834425,-1.5889531605037774,-0.9714285714285714,0.0,-2.0,0.636371702780206,0.4049689440993789,-0.022967178068969637,-0.44459477370548983,70,1.0,7.0,2.0,1.714583307502831,-0.5857142857142857,2.842857142857143,0.02449404725004044,1.0
2022-11-23 09:08:54,-0.4,0.0,-1.0,0.4929888180106566,0.2430379746835443,-0.41609098956027624,-1.8743756243756249,-0.775,3.0,-4.0,2.2612587510589117,5.113291139240509,0.2924125546294151,-1.2981867151408217,-0.6375,1.0,-3.0,0.8455954384749366,0.7150316455696203,0.12366083940787333,0.10762819215791541,80,1.0,7.0,4.0,1.0802922058406235,-0.4,1.8125,0.013503652573007794,1.0
2022-11-23 09:08:57,-0.475,0.0,-1.0,0.5057363253408151,0.2557692307692308,-0.10406920822209115,-2.096706916651515,-0.875,2.0,-4.0,2.1505813167606562,4.624999999999998,0.3019716537671813,-1.6340318517089885,-1.15,1.0,-3.0,0.833589704154145,0.694871794871795,0.29495684006213874,-0.017011362000787678,40,1.0,6.0,4.0,1.5211015745176255,-0.475,2.5,0.038027539362940635,1.0
2022-11-23 09:09:00,-0.23636363636363636,4.0,-3.0,1.8253729843477284,3.3319865319865327,0.9330779740850585,0.7063848362629201,-0.7636363636363637,2.0,-4.0,1.8455515723112716,3.4060606060606067,-0.32450696265086854,-0.9736545915476396,-0.8909090909090909,0.0,-2.0,0.685098729644326,0.4693602693602694,-0.14141643618985025,-0.8053911067637207,55,7.0,6.0,2.0,1.19696586113693,-0.23636363636363636,1.8909090909090909,0.021763015657035093,1.0
2022-11-23 09:09:03,-0.5882352941176471,1.0,-1.0,0.7952062255644574,0.6323529411764707,1.5938530405310323,0.8027814262535737,-1.8235294117647058,2.0,-3.0,1.8786728732554485,3.5294117647058827,1.6345758631262155,1.156607142857141,-0.9411764705882353,0.0,-1.0,0.24253562503633297,0.0588235294117647,4.12310562561766,16.999999999999993,17,2.0,5.0,1.0,2.134734977838124,-0.5882352941176471,3.352941176470588,0.1255726457551838,1.0
2022-11-23 09:09:06,-0.4854368932038835,0.0,-1.0,0.5022318359651446,0.2522368170569199,-0.0591419503304667,-2.0364329534840273,-0.02912621359223301,2.0,-5.0,2.2071910579437604,4.871692366266895,-0.5984074906274187,-1.3818670128678194,-0.941747572815534,1.0,-3.0,1.0462373546774566,1.094612602322482,-0.3276633180480597,-0.18770146350783357,103,1.0,7.0,4.0,1.0598989595737929,-0.02912621359223301,1.4563106796116505,0.010290281160910611,1.0
2022-11-23 09:09:09,-0.3125,0.0,-2.0,0.6020797289396148,0.3625,-1.8900005759816685,3.0345872914243897,-1.9375,2.0,-5.0,2.619637379485947,6.8625,0.1512823771636779,-1.5092390332021255,-0.875,0.0,-2.0,0.9574271077563381,0.9166666666666666,-0.27671565050620023,-2.0131141585687042,16,2.0,7.0,2.0,2.1487641797088854,-0.3125,3.125,0.13429776123180534,1.0
2022-11-23 09:09:12,-0.034482758620689655,1.0,-2.0,0.6725217358304448,0.4522854851643946,-1.133629513355016,2.6660787357043314,-0.08045977011494253,2.0,-4.0,2.14160552034171,4.586474204758087,-0.3801555811003769,-1.583865711104185,-0.6436781609195402,0.0,-2.0,0.7772493463348644,0.604116546377974,-0.7216950578576116,-0.9688664392689486,87,3.0,6.0,2.0,0.6496032713078065,-0.034482758620689655,0.7586206896551724,0.007466704267905822,1.0
2022-11-23 09:09:15,-0.23529411764705882,1.0,-2.0,0.8313702367707394,0.6911764705882353,-0.9827405895227499,1.0650973291081942,-1.2941176470588236,3.0,-5.0,2.8452747205312385,8.095588235294118,0.3005125887369358,-1.4412936468456965,-0.9411764705882353,0.0,-2.0,0.747545001596402,0.5588235294117647,-0.09856826059830678,-1.0467748318163825,17,3.0,8.0,2.0,1.6173796570432377,-0.23529411764705882,2.4705882352941178,0.0951399798260728,1.0
2022-11-23 09:09:18,-0.4,1.0,-2.0,1.0462967275611939,1.0947368421052632,-0.2940774825985608,-0.9892388908226004,-0.6,3.0,-5.0,3.0847673289381503,9.515789473684212,-0.27540408450070414,-1.5550471500370855,-1.2,0.0,-2.0,0.7677718959499146,0.5894736842105265,0.3721343373226625,-1.1309523809523814,20,3.0,8.0,2.0,1.4,-0.4,2.2,0.06999999999999999,1.0
2022-11-23 09:09:21,-0.75,4.0,-4.0,2.9430876143741207,8.661764705882353,0.20068318064232463,-1.5079100582153357,-0.15384615384615385,4.0,-3.0,2.52349442890806,6.3680241327300156,0.7741853023763982,-1.2097759253951068,0.34615384615384615,2.0,-5.0,1.9187885821335535,3.681749622926093,-1.5389677294272075,1.7624718111881195,52,8.0,7.0,7.0,0.8402327798059029,0.34615384615384615,1.25,0.016158322688575057,1.0
2022-11-23 09:09:24,-0.6206896551724138,3.0,-4.0,2.200641446183176,4.84282277465918,0.3666535382833452,-0.8292586364230603,-0.9885057471264368,4.0,-3.0,1.9795128181094488,3.918470997059612,1.1436796891029894,0.10033043708266387,-0.4367816091954023,2.0,-2.0,1.2454675915166602,1.5511895215183102,0.5177923691127181,-1.0090492487832607,87,7.0,7.0,4.0,1.2462653947981426,-0.4367816091954023,2.045977011494253,0.01432488959538095,1.0
2022-11-23 09:09:27,-0.23357664233576642,1.0,-1.0,0.7402580404894169,0.5479819665092313,0.40410270480774596,-1.0783513783074812,-0.23357664233576642,2.0,-3.0,2.3049268641026703,5.31268784886217,-0.2912506917033291,-1.8425369654500314,-0.8248175182481752,1.0,-2.0,0.9463382231697242,0.8955560326320307,0.9619365919096444,0.06475777855300446,137,2.0,5.0,3.0,0.888504380461222,-0.23357664233576642,1.2919708029197081,0.006485433434023518,1.0
2022-11-23 09:09:30,-0.3333333333333333,1.0,-1.0,0.7784989441615229,0.606060606060606,0.7193330244052474,-0.7919999999999994,-0.75,2.0,-3.0,2.378884383296277,5.659090909090909,0.08204716642055385,-2.2940662247383106,-0.75,1.0,-2.0,0.8660254037844386,0.75,1.4486243117848792,1.915151515151515,12,2.0,5.0,3.0,1.1118053386771944,-0.3333333333333333,1.8333333333333333,0.0926504448897662,1.0
